Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),7M842DMhYVALrXsw3ty7B3,4uUG5RXrOk84mYEfFvj3cK,94,2022-08-26,175238,True,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,18NOKLkZETa4sWwLMIm0UZ,42VsgItocQwOQC3XWZ8JNA,93,2023-07-28,191701,True,https://open.spotify.com/track/42VsgItocQwOQC3XWZ8JNA,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038
Boy's a Liar Pt. 2,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,6cVfHBcp3AdpYY0bBglkLN,6AQbmUe0Qwf5PZnt4HmTXv,92,2023-02-03,131013,True,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",4PNqWiJAfjj32hVvlchV5u,2tTmW7RDtMQtBk7m2rYeSw,92,2022-07-06,198938,False,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033
Me Porto Bonito,"Bad Bunny, Chencho Corleone",Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5,6Sq7ltF9Qa7SNFBsV5Cogx,91,2022-05-06,178567,True,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,327tc3Eruk1HP1w62iqROy,3BKD1PwArikchz2Zrlp1qi,93,2023-04-06,140018,False,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944
El Merengue,"Marshmello, Manuel Turizo",El Merengue,6sU751LOdNBPvVErW1GunP,51FvjPEGKq2zByeeEQ43V9,91,2023-03-03,189357,False,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","Honestly, Nevermind",3cf4iSSKd8ffTncbtKljXw,3F5CgOj3wFlRv51JsHbxhe,89,2022-06-17,218365,True,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921
MONTAGEM - PR FUNK,S3BZS,MONTAGEM - PR FUNK,2HuMAoXpr6HDryNHipbCpB,6njJR3OIp3oA0Kc4aC9Tzf,89,2023-05-01,61673,False,https://open.spotify.com/track/6njJR3OIp3oA0Kc4aC9Tzf,0.877,0.803,9,-3.195,1,0.0507,0.734,0.056,0.087,0.795,130.028
Save Your Tears,The Weeknd,After Hours,4yP0hdKOZPNshxUOjY0cZj,5QO79kh1waicV47BqGRL3g,89,2020-03-20,215627,True,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
BABY HELLO,"Rauw Alejandro, Bizarrap",BABY HELLO,5KDgQ8sKzlThX02A5urLj0,2SOvWt6igzXViIjIiWNWEP,89,2023-06-23,222462,True,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP,0.773,0.892,1,-3.732,0,0.0483,0.166,3.1e-06,0.429,0.842,130.007
